,ParkName,latitude,longitude
0,KOBUK VALLEY NP,67.3356197,-159.1243161
1,BRYCE CANYON NP,37.5930377,-112.1870895
2,LASSEN VOLCANIC NP,40.49766,-121.4206552
3,GLEN CANYON NRA,37.3867256,-110.8424257
4,STEAMTOWN NHS,41.40790579999999,-75.6720114
5,BLUE RIDGE PKWY,37.1199734,-80.12914119999999
6,GRAND TETON NP,43.7904282,-110.6817627
7,SAGUARO NP,32.2967359,-111.166615
8,REDWOOD NP,41.2131788,-124.0046275
9,VANDERBILT MANSION NHS,41.7963461,-73.9423869
10,AGATE FOSSIL BEDS NM,42.4252103,-103.7342402
11,CASTLE CLINTON NM,40.7034401,-74.0168023
12,MONTEZUMA CASTLE NM,34.6115755,-111.8349854
13,ROSS LAKE NRA,48.6998733,-121.0198366
14,PICTURED ROCKS NL,46.5614384,-86.3213064
15,MANASSAS NBP,38.8134115,-77.52216779999999
16,PISCATAWAY PARK,38.690893,-77.070737
17,NATURAL BRIDGES NM,37.604056,-110.0052043
18,PETRIFIED FOREST NP,34.9099897,-109.8067916
19,KEWEENAW NHP,47.2423094,-88.448106
20,CAPE KRUSENSTERN NM,67.12805560000001,-163.7452778
21,ACADIA NP,44.3385559,-68.2733346
22,VICKSBURG NMP,32.3548532,-90.8452588
23,BLUESTONE NSR,37.3981898,-81.167565
24,GAULEY RIVER NRA,38.2089655,-81.01473
25,GETTYSBURG NMP,39.8132494,-77.233732
26,KALAUPAPA NHP,21.1924062,-156.9665093
27,GOVERNORS ISLAND NM,40.6919879,-74.01599499999999
28,MAMMOTH CAVE NP,37.1869978,-86.100528
29,CANE RIVER CREOLE NHP,31.6652693,-93.0033638
30,MANZANAR NHS,36.7272288,-118.1527894
31,GRAND PORTAGE NM,47.9607126,-89.6865861
32,WOMEN'S RIGHTS NHP,42.910773,-76.800178
33,GRANT-KOHRS RANCH NHS,46.406069,-112.736682
34,JEWEL CAVE NM,43.7303594,-103.8290512
35,RIVER RAISIN NBP,41.9112005,-83.37672649999999
36,PADRE ISLAND NS,27.4241558,-97.29918359999999
37,DE SOTO NMEM,27.5222794,-82.6445936
38,CUMBERLAND ISLAND NS,30.8659411,-81.4505294
39,SPRINGFIELD ARMORY NHS,42.1072695,-72.58157380000002
40,BANDELIER NM,35.7646658,-106.3228338
41,COLONIAL NHP,37.2291337,-76.50390329999999
42,NAVAJO NM,35.9000121,-109.0339832
43,MINUTEMAN MISSILE NHS,43.844547,-101.9011854
44,GREAT BASIN NP,38.98333299999999,-114.3
45,RUSSELL CAVE NM,34.9764537,-85.81425709999999
46,LINCOLN MEMORIAL,38.8892686,-77.050176
47,NORTH CASCADES NP,48.7718174,-121.2984648
48,AMISTAD NRA,29.4955775,-100.9952685
49,ARKANSAS POST NMEM,34.0210974,-91.3478851
50,ROCK CREEK PARK,38.9375639,-77.0479223
51,CURECANTI NRA,38.4657461,-107.1666799
52,HAWAII VOLCANOES NP,19.4193697,-155.2884969
53,MANHATTAN PROJECT NHP,35.8825835,-106.3018475
54,FORD'S THEATRE NHS,38.89667,-77.0256687
55,MOORES CREEK NB,34.4577897,-78.109585
56,TONTO NM,33.6452781,-111.1126846
57,HOT SPRINGS NP,34.5216915,-93.0423545
58,WAR IN THE PACIFIC NHP,13.4737049,144.7090803
59,DINOSAUR NM,40.4927109,-108.9416357
60,JIMMY CARTER NHS,32.0365107,-84.3925979
61,BIGHORN CANYON NRA,45.3109005,-107.9359118
62,CUMBERLAND GAP NHP,36.6039715,-83.67297
63,LAKE MEAD NRA,36.1550863,-114.4559303
64,VIETNAM VETERANS MEM,38.8912933,-77.04771319999999
65,RAINBOW BRIDGE NM,37.0774203,-110.964382
66,DEVILS POSTPILE NM,37.6251062,-119.0849506
67,EL MORRO NM,35.0396358,-108.3450813
68,MESA VERDE NP,37.2308729,-108.4618335
69,CUYAHOGA VALLEY NP,41.2808248,-81.56781199999999
70,YOSEMITE NP,37.8651011,-119.5383294
71,GRAND CANYON NP,36.1069652,-112.1129972
72,SAN ANTONIO MISSIONS NHP,29.361157,-98.478431
73,CARLSBAD CAVERNS NP,32.1478553,-104.5567138
74,COWPENS NB,35.1367361,-81.8181625
75,SAGAMORE HILL NHS,40.88552929999999,-73.5010296
76,DRY TORTUGAS NP,24.628477,-82.87318739999999
77,SEQUOIA NP,36.4863668,-118.5657516
78,SALEM MARITIME NHS,42.5213163,-70.8866429
79,WHITMAN MISSION NHS,46.04132509999999,-118.4639177
80,LAKE CHELAN NRA,48.352344,-120.6855771
81,HOPEWELL CULTURE NHP,39.3761064,-83.0065097
82,WASHINGTON MONUMENT,38.8894838,-77.0352791
83,EVERGLADES NP,25.2866155,-80.89865089999999
84,SAUGUS IRON WORKS NHS,42.4679503,-71.00812719999999
85,CAPITOL REEF NP,38.3669703,-111.2615042
86,ANDREW JOHNSON NHS,36.1627802,-82.8294485
87,LAKE MEREDITH NRA,35.6438165,-101.5863058
