,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
0,BLUE RIDGE PKWY,1,"16,093,765",4.86%,NC-VA,NT,85529.79,2775.57,125.0,88430.36,259.58,10170.1,10429.68,98860.04,5,37.1199734,-80.12914119999998
1,GOLDEN GATE NRA,2,"14,981,897",4.53%,CA,PW,34742.93,24.55,324.97,35092.45,44382.21,2552.2,46934.41,82026.86,138,37.8480359,-122.5295263
2,GATEWAY NRA,4,"9,190,610",2.78%,NJ-NY,NE,20164.67,1.63,279.24,20445.54,5558.9,602.19,6161.09,26606.63,143,40.439669,-73.9887047
3,LINCOLN MEMORIAL,5,"7,956,117",2.40%,DC,NC,7.29,0.0,0.0,7.29,0.0,0.0,0.0,7.29,46,38.8892686,-77.05017600000001
4,LAKE MEAD NRA,6,"7,882,339",2.38%,AZ-NV,PW,1392731.19,41.31,78230.76,1471003.26,2444.75,22367.52,24812.27,1495815.53,63,36.155086299999994,-114.4559303
5,NATCHEZ TRACE PKWY,8,"6,326,062",1.91%,TN-MS-AL,SE,46320.02,5887.28,0.0,52207.3,34.54,60.16,94.7,52302.0,167,33.76686420000001,-89.01875109999999
6,GRAND CANYON NP,9,"6,254,238",1.89%,AZ,IM,1180650.85,0.0,0.0,1180650.85,11860.0,9136.18,20996.18,1201647.03,71,36.1069652,-112.11299720000001
7,VIETNAM VETERANS MEM,10,"5,072,589",1.53%,DC,NC,2.18,0.0,0.0,2.18,0.0,0.0,0.0,2.18,64,38.891293299999994,-77.04771319999998
8,INDEPENDENCE NHP,13,"4,790,758",1.45%,PA,NE,33.27,0.6,0.02,33.89,4.95,6.03,10.98,44.87,174,39.9495312,-75.14973189999998
9,CASTLE CLINTON NM,14,"4,737,113",1.43%,NY,NE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11,40.7034401,-74.0168023
10,GLEN CANYON NRA,15,"4,574,940",1.38%,AZ-UT,IM,1238621.99,0.0,1141.85,1239763.84,14352.78,0.0,14352.78,1254116.62,3,37.3867256,-110.84242569999999
11,ZION NP,16,"4,504,812",1.36%,UT,IM,143747.65,0.0,0.0,143747.65,5.13,3484.24,3489.37,147237.02,128,37.298202200000006,-113.02630049999999
12,STATUE OF LIBERTY NM,18,"4,441,988",1.34%,NY-NJ,NE,58.38,0.0,0.0,58.38,0.0,0.0,0.0,58.38,168,40.6892494,-74.04450039999998
13,YOSEMITE NP,20,"4,336,890",1.31%,CA,PW,759690.11,10.83,319.11,760020.05,1502.7,224.75,1727.45,761747.5,70,37.8651011,-119.5383294
14,CAPE COD NS,22,"4,125,418",1.25%,MA,NE,27111.29,403.64,31.86,27546.79,14556.22,1505.27,16061.49,43608.28,211,41.904347200000004,-69.9789243
15,YELLOWSTONE NP,23,"4,116,524",1.24%,ID-MT-WY,IM,2219789.13,0.0,0.0,2219789.13,0.0,1.58,1.58,2219790.71,206,44.427963,-110.58845500000001
16,GULF ISLANDS NS,24,"3,952,941",1.19%,FL-MS,SE,95223.93,2.09,4553.25,99779.27,37807.56,718.69,38526.25,138305.52,178,30.391851399999997,-88.791067
17,ACADIA NP,26,"3,509,271",1.06%,ME,NE,37433.41,10707.9,24.27,48165.58,48.22,861.46,909.68,49075.26,21,44.3385559,-68.27333459999998
18,BOSTON NHP,28,"3,425,606",1.04%,MA,NE,37.96,0.0,0.0,37.96,5.09,0.77,5.86,43.82,176,42.373162,-71.056834
19,OLYMPIC NP,29,"3,401,996",1.03%,WA,PW,913388.24,64.88,100.0,913553.12,8749.28,347.01,9096.29,922649.41,97,47.8021067,-123.6043524
20,THOMAS JEFFERSON MEM,31,"3,366,571",1.02%,DC,NC,18.36,0.0,0.0,18.36,0.0,0.0,0.0,18.36,161,38.88138060000001,-77.0364536
21,COLONIAL NHP,32,"3,333,448",1.01%,VA,NE,8048.82,556.47,0.0,8605.29,68.83,2.79,71.62,8676.91,41,37.229133700000006,-76.50390329999998
22,GRAND TETON NP,33,"3,317,000",1.00%,WY,IM,273477.58,8.85,34984.62,308471.05,653.34,919.83,1573.17,310044.22,6,43.7904282,-110.68176270000001
23,GLACIER NP,34,"3,305,512",1.00%,MT,IM,1012842.8,54.34,0.0,1012897.14,2.51,226.34,228.85,1013125.99,177,48.7596128,-113.7870225
24,JOSHUA TREE NP,35,"2,853,619",0.86%,CA,PW,779163.11,0.0,25.4,779188.51,2572.74,8874.49,11447.23,790635.74,154,33.873415,-115.9009923
25,BRYCE CANYON NP,38,"2,571,684",0.78%,UT,IM,35832.58,0.0,0.0,35832.58,0.0,2.5,2.5,35835.08,1,37.593037700000004,-112.1870895
26,ROCK CREEK PARK,39,"2,483,788",0.75%,DC,NC,1755.21,0.0,0.0,1755.21,0.0,0.0,0.0,1755.21,50,38.937563899999994,-77.0479223
27,POINT REYES NS,40,"2,456,669",0.74%,CA,PW,64856.5,42.98,334.87,65234.35,2696.98,3122.05,5819.03,71053.38,157,38.0722909,-122.881743
28,CAPE HATTERAS NS,42,"2,433,703",0.74%,NC,SE,24470.1,0.0,5880.0,30350.1,0.0,0.55,0.55,30350.65,186,35.2426424,-75.5392755
29,ASSATEAGUE ISLAND NS,43,"2,347,167",0.71%,MD-VA 2/,NE,8983.42,102.16,9842.69,18928.27,22389.33,28.9,22418.23,41346.5,101,38.0607973,-75.2362382
