Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2009,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Blue Ridge PKWY,1,"15,936,316",5.58%
Golden Gate NRA,2,"15,036,372",5.27%
Great Smoky Mountains NP,3,"9,491,437",3.32%
Gateway NRA,4,"9,010,522",3.16%
Lake Mead NRA,5,"7,668,689",2.69%
George Washington MEM PKWY,6,"6,938,309",2.43%
Natchez Trace PKWY,7,"5,934,363",2.08%
Lincoln Memorial,8,"5,255,570",1.84%
Delaware Water Gap NRA,9,"5,213,030",1.83%
Vietnam Veterans MEM,10,"4,437,771",1.55%
Grand Canyon NP,11,"4,348,068",1.52%
Cape Cod NS,12,"4,311,949",1.51%
San Francisco Maritime NHP,13,"4,152,497",1.45%
Gulf Islands NS,14,"4,132,674",1.45%
World War II Memorial,15,"4,118,528",1.44%
Castle Clinton NM,16,"4,080,152",1.43%
Independence NHP,17,"3,967,694",1.39%
Statue of Liberty NM,18,"3,829,483",1.34%
Chesapeake & Ohio Canal NHP,19,"3,751,681",1.31%
Yosemite NP,20,"3,737,472",1.31%
National Capital Parks Central,21,"3,678,876",1.29%
Colonial NHP,22,"3,324,751",1.16%
Yellowstone NP,23,"3,295,187",1.15%
Olympic NP,24,"3,276,459",1.15%
Korean War Veterans Memorial,25,"3,117,046",1.09%
Chattahoochee River NRA,26,"2,830,655",0.99%
Rocky Mountain NP,27,"2,822,325",0.99%
Zion NP,28,"2,735,402",0.96%
Franklin Delano Roosevelt MEM,29,"2,591,241",0.91%
Cuyahoga Valley NP,30,"2,589,288",0.91%
Grand Teton NP,31,"2,580,081",0.90%
Amistad NRA,32,"2,573,966",0.90%
Gateway Arch NP,33,"2,360,109",0.83%
Thomas Jefferson MEM,34,"2,337,868",0.82%
Cape Hatteras NS,35,"2,282,543",0.80%
Mount Rushmore NMEM,36,"2,260,192",0.79%
Acadia NP,37,"2,227,698",0.78%
Point Reyes NS,38,"2,170,646",0.76%
Boston NHP,39,"2,155,026",0.75%
Assateague Island NS,40,"2,129,658",0.75%
Rock Creek Park,41,"2,076,500",0.73%
Glacier NP,42,"2,031,348",0.71%
Glen Canyon NRA,43,"1,960,345",0.69%
Indiana Dunes NP,44,"1,944,568",0.68%
San Antonio Missions NHP,45,"1,567,667",0.55%
Buffalo NR,46,"1,522,586",0.53%
President's Park,47,"1,475,182",0.52%
Valley Forge NHP,48,"1,449,228",0.51%
Fort Point NHS,49,"1,385,134",0.49%
Lake Roosevelt NRA,50,"1,382,663",0.48%
Kennesaw Mountain NBP,51,"1,372,228",0.48%
Ozark NSR,52,"1,308,718",0.46%
Joshua Tree NP,53,"1,304,471",0.46%
Hot Springs NP,54,"1,284,707",0.45%
Pearl Harbor NMEM,55,"1,276,868",0.45%
National Capital Parks East,56,"1,272,212",0.45%
Chickasaw NRA,57,"1,238,484",0.43%
Hawaii Volcanoes NP,58,"1,233,105",0.43%
Bryce Canyon NP,59,"1,216,377",0.43%
Timucuan EHP,60,"1,195,171",0.42%
Sleeping Bear Dunes NL,61,"1,165,836",0.41%
Mount Rainier NP,62,"1,151,654",0.40%
New River Gorge NR,63,"1,144,318",0.40%
"John D. Rockefeller, Jr. MEM PKWY",64,"1,139,923",0.40%
Shenandoah NP,65,"1,120,981",0.39%
Haleakala NP,66,"1,109,104",0.39%
Minute Man NHP,67,"1,096,024",0.38%
Lake Meredith NRA,68,"1,080,644",0.38%
San Juan NHS,69,"1,069,673",0.37%
Fort Vancouver NHS,70,"1,017,326",0.36%
Gettysburg NMP,71,"1,013,002",0.35%
Canaveral NS,72,"1,001,665",0.35%
Arches NP,73,"996,312",0.35%
Chickamauga & Chattanooga NMP,74,"992,448",0.35%
Sequoia NP,75,"965,170",0.34%
Curecanti NRA,76,"953,169",0.33%
Badlands NP,77,"933,918",0.33%
Fredericksburg & Spotsylvania NMP,78,"906,175",0.32%
Everglades NP,79,"900,882",0.32%
Cumberland Gap NHP,80,"883,663",0.31%
Klondike Gold Rush NHP Alaska,81,"880,512",0.31%
Whiskeytown NRA,82,"853,812",0.30%
Death Valley NP,83,"828,574",0.29%
Canyon de Chelly NM,84,"826,425",0.29%
Big Cypress NPRES,85,"812,207",0.28%
Fort Matanzas NM,86,"793,253",0.28%
Fort Sumter and Fort Moultrie NHP,87,"785,604",0.28%
Muir Woods NM,88,"779,880",0.27%
Cabrillo NM,89,"767,687",0.27%
Salem Maritime NHS,90,"723,088",0.25%
Big South Fork NRRA,91,"686,747",0.24%
Washington Monument,92,"676,002",0.24%
Castillo de San Marcos NM,93,"667,783",0.23%
Saguaro NP,94,"665,234",0.23%
Ford's Theatre NHS,95,"658,271",0.23%
"Martin Luther King, Jr. NHP",96,"650,343",0.23%
Padre Island NS,97,"642,163",0.22%
Petrified Forest NP,98,"631,613",0.22%
Capitol Reef NP,99,"617,208",0.22%
White House,100,"616,890",0.22%
Kings Canyon NP,101,"609,296",0.21%
Fort McHenry NM & HS,102,"605,870",0.21%
Arlington House The R.E. Lee MEM,103,"603,773",0.21%
Cape Lookout NS,104,"601,954",0.21%
Montezuma Castle NM,105,"601,465",0.21%
Wind Cave NP,106,"587,868",0.21%
Theodore Roosevelt NP,107,"586,928",0.21%
Vicksburg NMP,108,"584,105",0.20%
Manassas NBP,109,"578,383",0.20%
